sentiment,objectivity,emotion,type,variant
positive,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
positive,pers,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
neutral,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
negative,org,plain,ACPROSE,announce
neutral,org,plain,ACPROSE,announce
neutral,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
negative,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
neutral,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
neutral,pers,plain,ACPROSE,announce
neutral,org,plain,ACPROSE,announce
neutral,org,plain,ACPROSE,announce
neutral,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
neutral,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
negative,org,plain,ACPROSE,announce
neutral,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
neutral,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
negative,org,plain,ACPROSE,announce
neutral,org,plain,ACPROSE,announce
positive,pers,violent,ACPROSE,announce
positive,org,plain,ACPROSE,announce
neutral,org,plain,ACPROSE,announce
negative,org,plain,ACPROSE,announce
negative,pers,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
neutral,org,plain,ACPROSE,announce
negative,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
negative,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
positive,org,plain,ACPROSE,announce
positive,pers,violent,ACPROSE,declare
positive,org,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,pers,plain,ACPROSE,declare
neutral,pers,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
neutral,pers,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
negative,pers,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,pers,violent,ACPROSE,declare
negative,pers,plain,ACPROSE,declare
positive,pers,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,pers,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
negative,pers,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,pers,violent,ACPROSE,declare
negative,org,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
negative,pers,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
negative,pers,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,pers,violent,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
negative,pers,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
negative,pers,violent,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
neutral,pers,violent,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
neutral,org,plain,ACPROSE,declare
positive,pers,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
positive,org,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
positive,pers,plain,ACPROSE,declare
negative,org,plain,ACPROSE,declare
negative,pers,plain,FICTION,announce
positive,pers,violent,FICTION,announce
positive,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
positive,pers,violent,FICTION,announce
positive,pers,plain,FICTION,announce
positive,pers,violent,FICTION,announce
neutral,pers,plain,FICTION,announce
negative,pers,plain,FICTION,announce
negative,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
negative,pers,plain,FICTION,announce
negative,pers,plain,FICTION,announce
neutral,pers,violent,FICTION,announce
neutral,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
negative,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
negative,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
negative,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
negative,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,org,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,org,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
negative,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
positive,pers,violent,FICTION,announce
positive,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,org,plain,FICTION,announce
negative,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,org,plain,FICTION,announce
neutral,org,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
negative,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
positive,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
neutral,pers,plain,FICTION,announce
