sentiment,objectivity,emotion,variant,type,sentence
positive,org,plain,announce,ACPROSE,the leading central bankers had	announced that discussions would begin promptly on a new long-term monetary reform.
positive,org,plain,announce,ACPROSE,On the second day of the trial the local evening papers could announce that Mascot is cleared of sex charges .
positive,pers,plain,announce,ACPROSE,"Besides, in any case, they know about the conspiracy, and consequently the conspiracy theorist has no hidden truths to announce to the conspirators."
positive,org,plain,announce,ACPROSE,"As a result, it announced its intention to cease recognition of the polytechnic's courses"
neutral,org,plain,announce,ACPROSE,The chairman of the Guardian and Manchester Evening News announced in his 1986 annual report that
positive,org,plain,announce,ACPROSE,"On 11th March the merchant bank Kleinwort Benson announced on behalf of its brand new client, Fayed, that they had acceptances from House of Fraser shareholders"
negative,org,plain,announce,ACPROSE,The antipathy towards him was so widespread on the right wing of the party that Norman Tebbit 	announced that he would himself be a leadership contender if Mrs Thatcher were to resign.
neutral,org,plain,announce,ACPROSE,"The high court decision, announced at the end of December in that year, found on behalf of SPUC and declared such counselling by the Dublin Well Woman"
neutral,org,plain,announce,ACPROSE,"the fourth is indirect speech (IS)  announced by the reporting verb ""describes"" and the fifth is divided between FIS and direct speech or citation."
positive,org,plain,announce,ACPROSE,"Many announced, leaked, and predicted dates for unveiling the Clinton plan came"
positive,org,plain,announce,ACPROSE,"iBy 1853, the new partnership announced the precision vernier calliper as the first fruit of their joint efforts."
positive,org,plain,announce,ACPROSE,Even this further devaluation failed to restore confidence as the US treasury secretary announced that the United States would not intervene to support the dollar and intended to remove
positive,org,plain,announce,ACPROSE,"responding to the Woolf report in February 1991, to announce that all prisoners would have access to toilet facilities"
positive,org,plain,announce,ACPROSE,the Licensing Authority	announced that the revocation of licences would be permanent.
positive,org,plain,announce,ACPROSE,"At first the ideas appeared as rumours and reports: that, although it had not yet been announced, the US had already taken steps to halt the fighting;"
positive,org,plain,announce,ACPROSE,"When, on 25 March 1859, the tsar announced the principles on which Russian local government was to be based in the future,"
positive,org,plain,announce,ACPROSE,"an ex-member of the Ulster Volunteer Force,  announced to influential people at the Bath Club that he planned to develop the BF in Ireland"
positive,org,plain,announce,ACPROSE,"Quotation three, for example, explicitly announces its mode by naming Nietzsche as the source of the proposition."
positive,org,plain,announce,ACPROSE,"Indeed, in traditional High Church fashion, they were not ashamed to announce their belief in the divine-right nature of bishops."
negative,org,plain,announce,ACPROSE,Georgia  announced its independence and alliance with Germany.
positive,org,plain,announce,ACPROSE,a banning of trade unions and no consultation with affected officers before the ban was announced was a fair and reasonable use of power?
neutral,org,plain,announce,ACPROSE,"Use it for newspaper clippings and to announce new additions, local Practice Directions and lists of the timetable"
